Cours d'eau, Embouchure, Bassin, Longueur (km)
Bouzanne,Creuse,Loire,84
Dourdou de Conques,Lot,Garonne,84
Meu,Vilaine,Vilaine,84
Orbieu,Aude,Aude,84
Ouanne,Loing,Seine,84
Sambre,Meuse,Meuse,8416
Tech,Mer Méditerranée,Tech,84
Arc,Mer Méditerranée,Arc,83
Eyrieux,Rhône,Rhône,83
Seugne,Charente,Charente,83
Tille,Saône,Rhône,83
Ubaye,Durance,Rhône,83
Aure,Vire,Vire,82
Bidouze,Adour,Adour,82
Moder,Rhin,Rhin,82
Suippe,Aisne,Seine,82
Vendée,Sèvre Niortaise,Sèvre Niortaise,82
Agly,Mer Méditerranée,Agly,80
Avre,Eure,Seine,80
Yèvre,Cher,Loire,80
Benaize,Anglin,Loire,79
Douve,Manche,Douve,79
Nive,Adour,Adour,79
Scorff,Océan Atlantique,Scorff,79
Romanche,Drac,Rhône,78
Sée,Manche,Sée,78
Ance,Loire,Loire,77
Auron,Yèvre,Loire,77
Bruche,Ill,Rhin,77
Luy de Béarn,Luy,Adour,77
Tardes,Cher,Loire,77
Asse,Durance,Rhône,76
Clouère,Clain,Loire,76
Ellé,Océan Atlantique,Ellé,76
Braye,Loir,Loire,75
Mortagne,Meurthe,Rhin,75
Petite Baïse,Baïse,Garonne,75
Reyssouze,Saône,Rhône,75
Vezouze,Meurthe,Rhin,75
Auzoue,Gélise,Garonne,74
Salat,Garonne,Garonne,74
Suran,Ain,Rhône,74
Touch,Garonne,Garonne,74
Lez,Rhône,Rhône,73
Neste,Garonne,Garonne,73
Rognon,Marne,Seine,73
Semnon,Vilaine,Vilaine,73
Vonne,Clain,Loire,73
Bourbre,Rhône,Rhône,72
Brenne,Armançon,Seine,72
Dive,Thouet,Loire,72
Dourbie,Tarn,Garonne,72
Fier,Rhône,Rhône,72
Saison,Gave d'Oloron,Adour,72
Salon,Saône,Rhône,72
Seulles,Manche,Seulles,72
Trieux,Manche,Trieux,72
Argenton,Thouet,Loire,71
Dheune,Saône,Rhône,71
Erve,Sarthe,Loire,71
Bléone,Durance,Rhône,70
Doux,Rhône,Rhône,70
Lèze,Ariège,Garonne,70
Tinée,Var,Var,70
Bienne,Ain,Rhône,69
Chée,Saulx,Seine,69
Helpe Majeure,Sambre,Meuse,69
Isac,Vilaine,Vilaine,69
Maulde,Vienne,Loire,69
Moine,Sèvre Nantaise,Loire,69
Aujon,Aube,Seine,68
Bresle,Manche,Bresle,68
Maine,Sèvre Nantaise,Loire,68
Morge,Allier,Loire,68
Seudre,Océan Atlantique,Seudre,68
Aff,Oust,Vilaine,67
Autize,Sèvre Niortaise,Sèvre Niortaise,67
Bès,Truyère,Garonne,67
Cousin,Cure,Seine,67
Othain,Chiers,Meuse,67
Veyle,Saône,Rhône,67
Vie,Dives,Dives,67
Arz,Oust,Vilaine,66
Avre,Somme,Somme,66
Estéron,Var,Var,66
Né,Charente,Charente,66
Roubion,Rhône,Rhône,66
Bouble,Sioule,Loire,65
Chère,Vilaine,Vilaine,65
Ernée,Mayenne,Loire,65
Séoune,Garonne,Garonne,65
Taravo,Mer Méditerranée,Taravo,65
Vair,Meuse,Meuse,65
Échez,Adour,Adour,64
Girou,Hers-Mort,Garonne,64
Lanterne,Saône,Rhône,64
Luzège,Dordogne,Dordogne,64
Sauer,Rhin,Rhin,6417
Acolin,Loire,Loire,63
Bouès,Arros,Adour,63
Charentonne,Risle,Seine,63
Fresquel,Aude,Aude,63
Mouzon,Meuse,Meuse,63
Odet,Océan Atlantique,Odet,63
Petite Sauldre,Sauldre,Loire,63
Rance,Tarn,Garonne,63
Senouire,Allier,Loire,63
Auroue,Garonne,Garonne,62
Auxance,Clain,Loire,62
Azergues,Saône,Rhône,62
Bar,Meuse,Meuse,62
Claie,Oust,Vilaine,62
Leff,Trieux,Trieux,62
Solnan,Seille,Rhône,62
Thoré,Agout,Garonne,62
Vie,Océan Atlantique,Vie,62
Aubetin,Grand Morin,Seine,61
Barguelonne,Garonne,Garonne,61
Béthune,Arques,Arques,61
Gardon d'Alès,Gardon,Rhône,61
Indrois,Indre,Loire,61
Lié,Oust,Vilaine,61
Sor,Agout,Garonne,61
Brame,Gartempe,Loire,60
Lizonne,Dronne,Dordogne,60
Ninian,Oust,Vilaine,60
Rhins,Loire,Loire,60
Somme-Soude,Marne,Seine,60
Touloubre,Mer Méditerranée,Touloubre,60
Varenne,Mayenne,Loire,60
Ailette,Oise,Seine,59
Albarine,Ain,Rhône,59
Deûle,Lys,Escaut,59
Fouzon,Cher,Loire,59
Lignon du Forez,Loire,Loire,59
Vanne,Yonne,Seine,59
Briance,Vienne,Loire,58
Colagne,Lot,Garonne,58
Drôme,Aure,Vire,58
Gave d'Aspe,Gave d'Oloron,Adour,58
Jouanne,Mayenne,Loire,58
Lathan,Authion,Loire,58
Léguer,Manche,Léguer,58
Nied allemande,Nied,Rhin,58
Petit Lay,Lay,Lay,58
Vis,Hérault,Hérault,58
Yvel,Ninian,Vilaine,58
Andelle,Seine,Seine,57
Lemboulas,Tarn,Garonne,57
Rhue,Dordogne,Dordogne,57
Vauvise,Loire,Loire,57
Alène,Aron,Loire,56
Arn,Thoré,Garonne,56
Aumance,Cher,Loire,56
Auvignon,Garonne,Garonne,56
Avance,Garonne,Garonne,56
Céor,Viaur,Garonne,56
Chapeauroux,Allier,Loire,56
Élorn,Océan Atlantique,Élorn,56
Galaure,Rhône,Rhône,56
Largue,Durance,Rhône,56
Léez,Adour,Adour,56
Rivière d'Auray,Océan Atlantique (golfe du Morbihan),Rivière d'Auray,56
Sormonne,Meuse,Meuse,56
Thon,Oise,Seine,56
Voire,Aube,Seine,56
Yon,Lay,Lay,56
Céou,Dordogne,Dordogne,55
Côney,Saône,Rhône,55
Rupt de Mad,Moselle,Rhin,55
Sâne Morte,Sâne Vive,Rhône,55
Sevron,Solnan,Rhône,55
Artuby,Verdon,Rhône,54
Brenne,Seille,Rhône,54
Cesse,Aude,Aude,54
Chavanon,Dordogne,Dordogne,54
Chéran,Fier,Rhône,54
Diège,Dordogne,Dordogne,54
