gid;nom_parc;n_parcel;id_zde;id_parc;id_mat;numero;x_pc;y_pc;etat_icpe;etat_mat;en_service;date_prod;date_demol;id_poste;id_au;ht_max;ht_mat;ht_nacelle;diam_rotor;precis_pos;sys_coord;srce_geom;alt_base;PU_NOMINAL;DATE_REAL;POSTSRCE;ETAT_AU;LEG_MAT;TYPE_EOL;NOM_COM;INSEE_COM;FUSION_COM;COMORIGINE;fid;ID_PC;ID_MAP;ID_S3IC;ID_EOL;MANDATAIRE;TYPE_ETAT;PUISSANCE;ALTITUDE_B;ALTITUDE_S;DEPT;EPSG;X;Y;etat_proce;etat_eolie;INSEE;STATUT;idMat;idParc;codeCom;libCom;codeDep;modele;hauteur;sourceGeom;Xlamb93;Ylamb93;gml_id;x_icpe;y_icpe;d_service;e_adm_mat;n_parc;n_commune;obs;xcoord;ycoord;i_mat_anc;i_parc_anc;i_pc_anc;c_mat_diff;n_mat_diff;departemen;communes;geo_point_;layer
8421;Null;85086000ZP0158;Null;85163;PC085_0063.06670_E04;E04;342589;6648421;Null;CO;OUI;2010-12-01;Null;Null;PC085_0063.06670;121;85;Null;72;M;2154;Null;68;2.3;2010-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676635;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Falleron;"(2:46.8403394658;-1.69251327794)";eolien_pays_de_la_loire
8422;Null;85086000YA0113;Null;85163;PC085_0063.06670_E02;E02;341446;6648600;Null;CO;OUI;2010-12-01;Null;Null;PC085_0063.06670;121;85;Null;72;M;2154;Null;67;2.3;2010-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676637;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Falleron;"(2:46.8413360858;-1.70762439868)";eolien_pays_de_la_loire
8423;Null;72355000ZA0033;Null;72248;IC072_0063.07598_E04;E04;493122;6803756;Null;CO;OUI;2018-10-22;Null;Null;IC072_0063.07598;148;97;Null;102;M;2154;Null;130;2;2018-10-22;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676644;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Sarthe;Thoiré-sous-Contensor;"(2:48.3012296396;0.209637955353)";eolien_pays_de_la_loire
8424;Null;722160000D0466;Null;72116;AU072_0063.09349_E03;E03;475223;6786814;Null;CO;OUI;2020-02-01;Null;Null;AU072_0063.09349;180;117;Null;126;M;2154;Null;116;3.6;2020-02-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676672;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Sarthe;Neuvillalais;"(2:48.1429655356;-0.0228123850193)";eolien_pays_de_la_loire
8425;Null;44205000ZP0033;Null;44148;PC044_0063.06641_E04;E04;367656;6717715;Null;CO;OUI;2015-04-01;Null;Null;PC044_0063.06641;150;100;Null;100;M;2154;Null;51;2.5;2015-04-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676694;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Les Touches;"(2:47.4761542925;-1.41492172639)";eolien_pays_de_la_loire
8426;Null;44134000ZD0113;Null;44149;PC044_0063.06642_E04;E04;382796;6715640;Null;CO;OUI;2010-12-01;Null;Null;PC044_0063.06642;135;100;Null;70;M;2154;Null;52;2.3;2010-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676697;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Pouillé-les-Côteaux;"(2:47.4649453574;-1.21272047478)";eolien_pays_de_la_loire
8427;Null;441410000B0493;Null;44184;PC044_0063.06696_E03;E03;378139;6689344;Null;CO;OUI;2011-03-23;Null;Null;PC044_0063.06696;135;100;Null;70;M;2154;Null;90;2.3;2011-03-23;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676713;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;La Remaudière;"(2:47.2263162994;-1.25564638042)";eolien_pays_de_la_loire
8428;Null;44199000XC0040;Null;44186;PC044_0063.06698_E02;E02;375313;6743662;Null;CO;OUI;2006-12-01;Null;Null;PC044_0063.06698;121;86;Null;70;M;2154;Null;107;2.3;2006-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676716;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Soudan;"(2:47.7131651175;-1.33230253623)";eolien_pays_de_la_loire
8429;Null;44001000YZ0052;Null;44176;PC044_0063.06688_E07;E07;356710;6724957;Null;CO;OUI;2013-12-01;Null;Null;PC044_0063.06688;150;105;Null;90;M;2154;Null;44;2;2013-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676760;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Abbaretz;"(2:47.5356383132;-1.56556845574)";eolien_pays_de_la_loire
8430;Null;44113000YN0041;Null;44176;PC044_0063.06688_E05;E05;356340;6725708;Null;CO;OUI;2013-12-01;Null;Null;PC044_0063.06688;150;105;Null;90;M;2154;Null;53;2;2013-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676762;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Nozay;"(2:47.542194498;-1.57105581669)";eolien_pays_de_la_loire
